name,season,status,tv_network,ano
20/20,SEASON 36,Renewed 5/13,ABC,2013
America's Funniest Home Videos,SEASON 24,Renewed 5/9,ABC,2013
The Assets,1,Canceled 1/10 after 2 eps aired,ABC,2013
The Astronaut Wives Club,1,Delayed to 2015 for creative reasons,ABC,2013
The Bachelor,SEASON 18,Renewed 5/9,ABC,2013
The Bachelorette,SEASON 10,,ABC,2013
Bachelor in Paradise,1,Renewed 9/8/14,ABC,2013
Back in the Game,1,Canceled 11/1; all 13 eps will air,ABC,2013
Bet on Your Baby,SEASON 2,,ABC,2013
Betrayal,1,Canceled 11/19;  finale airs 1/19,ABC,2013
Black Box,1,Canceled 8/7,ABC,2013
Castle,SEASON 6,Renewed for a 7th season on 5/8,ABC,2013
Celebrity Wife Swap,SEASON 3,,ABC,2013
Dancing with the Stars,SEASONS 17 / 18,Renewed 5/9,ABC,2013
Extreme Weight Loss,SEASON 4,Renewed for a 5th season on 6/18,ABC,2013
The Goldbergs,1,Renewed for a 2nd season on 5/8,ABC,2013
Grand Central,1,,ABC,2013
The Great Christmas Light Fight,1,Renewed for a 2nd season on 4/17,ABC,2013
Grey's Anatomy,SEASON 10,Renewed for an 11th season on 5/8,ABC,2013
Killer Women,1,Ending early (on 2/18); considered canceled,ABC,2013
Last Man Standing,SEASON 3,Renewed for a 4th season on 5/10,ABC,2013
Lucky 7,1,Canceled 10/4 after just 2 episodes,ABC,2013
Marvel's Agents of S.H.I.E.L.D.,1,Renewed for a 2nd season on 5/8,ABC,2013
The Middle,SEASON 5,Renewed for a 6th SEAseasonSON on 5/8,ABC,2013
Mind Games,1,Canceled 3/27 after 5 episodes,ABC,2013
Mistresses,SEASON 2,Renewed for a 3rd season on 9/30/14,ABC,2013
Mixology,1,Canceled 5/8,ABC,2013
Modern Family,SEASON 5,Renewed for a 6th season on 5/8,ABC,2013
Motive,SEASON 2,,ABC,2013
Nashville,SEASON 2,Renewed for a 3rd season on 5/9,ABC,2013
The Neighbors,SEASON 2,Canceled 5/8,ABC,2013
Nightline Prime,1,,ABC,2013
NY Med,SEASON 2,,ABC,2013
Once Upon a Time,SEASON 3,Renewed for a 4th season on 5/8,ABC,2013
Once Upon a Time in Wonderland,1,Canceled 3/27,ABC,2013
The Quest,1,Delayed from January (and from June),ABC,2013
Resurrection,1,Renewed for a 2nd season on 5/8,ABC,2013
Revenge,SEASON 3,Renewed for a 4th season on 5/8,ABC,2013
Rising Star,1,,ABC,2013
Rookie Blue,SEASON 5,,ABC,2013
Scandal,SEASON 3,Renewed for a 4th season on 5/8,ABC,2013
Shark Tank,SEASON 5,Renewed 5/9,ABC,2013
Sing Your Face Off,1,,ABC,2013
Suburgatory,SEASON 3,Canceled 5/9,ABC,2013
Super Fun Night,1,Canceled 5/9,ABC,2013
The Taste,SEASON 2,Renewed 5/13,ABC,2013
Trophy Wife,1,Canceled 5/8,ABC,2013
Wipeout,SEASON 7,,ABC,2013
2 Broke Girls,SEASON 3,Renewed 3/13,CBS,2013
48 Hours,SEASON 27,Renewed 3/13,CBS,2013
60 Minutes,SEASON 46,Renewed 3/13,CBS,2013
The Amazing Race,SEASONS 23 /  24,Renewed 3/13,CBS,2013
Bad Teacher,1,Canceled 5/10; pulled from schedule 5/27,CBS,2013
Big Brother,SEASON 16,Renewed for 2 additional seasons on 9/24/14,CBS,2013
The Big Bang Theory,SEASON 7,Renewed through 2016-17 on 3/12,CBS,2013
Blue Bloods,SEASON 4,Renewed 3/13,CBS,2013
The Crazy Ones,1,Canceled 5/10,CBS,2013
Criminal Minds,SEASON 9,Renewed 3/13,CBS,2013
CSI: Crime Scene Investigation,SEASON 14,Renewed 3/13,CBS,2013
Elementary,SEASON 2,Renewed 3/13,CBS,2013
Extant,1,Renewed 10/9/14,CBS,2013
Friends with Better Lives,1,Canceled 5/10; pulled from schedule 5/27,CBS,2013
The Good Wife,SEASON 5,Renewed 3/13,CBS,2013
Hawaii Five-0,SEASON 4,Renewed 3/13,CBS,2013
Hostages,1,Officially canceled 5/10,CBS,2013
How I Met Your Mother,SEASON 9,Ending after this season; finale on 3/31,CBS,2013
Intelligence,1,Canceled 5/10,CBS,2013
The Mentalist,SEASON 6,Renewed for a 7th season on 5/10,CBS,2013
Mike & Molly,SEASON 4,Renewed 3/13,CBS,2013
The Millers,1,Renewed 3/13,CBS,2013
